# Step Timing Log
# Format: timestamp [Step N] MODE | total=Xms
# MODE: NORMAL = regular step, POST-CKPT = within 34 steps after checkpoint save
# Generated by train_phase8.py

2025-12-13T19:18:34.477248 [Step   3535] NORMAL       | total=5455.2ms | mode=NORMAL
2025-12-13T19:18:40.324739 [Step   3536] NORMAL       | total=5841.2ms | mode=NORMAL
2025-12-13T19:18:45.068640 [Step   3537] NORMAL       | total=4738.3ms | mode=NORMAL
2025-12-13T19:18:50.642497 [Step   3538] NORMAL       | total=5569.2ms | mode=NORMAL
2025-12-13T19:18:55.825292 [Step   3539] NORMAL       | total=5177.6ms | mode=NORMAL
2025-12-13T19:19:01.018003 [Step   3540] NORMAL       | total=5188.3ms | mode=NORMAL
2025-12-13T19:19:06.368075 [Step   3541] NORMAL       | total=5345.1ms | mode=NORMAL
2025-12-13T19:19:11.490045 [Step   3542] NORMAL       | total=5117.0ms | mode=NORMAL
2025-12-13T19:19:16.651212 [Step   3543] NORMAL       | total=5155.5ms | mode=NORMAL
2025-12-13T19:19:22.085397 [Step   3544] NORMAL       | total=5429.6ms | mode=NORMAL
2025-12-13T19:19:27.317681 [Step   3545] NORMAL       | total=5227.3ms | mode=NORMAL
2025-12-13T19:19:32.462573 [Step   3546] NORMAL       | total=5140.3ms | mode=NORMAL
2025-12-13T19:19:37.740445 [Step   3547] NORMAL       | total=5273.5ms | mode=NORMAL
2025-12-13T19:19:43.173120 [Step   3548] NORMAL       | total=5428.0ms | mode=NORMAL
2025-12-13T19:19:48.643438 [Step   3549] NORMAL       | total=5465.0ms | mode=NORMAL
2025-12-13T19:19:54.183262 [Step   3550] NORMAL       | total=5535.3ms | mode=NORMAL
2025-12-13T19:19:59.399263 [Step   3551] NORMAL       | total=5211.7ms | mode=NORMAL
2025-12-13T19:20:05.321050 [Step   3552] NORMAL       | total=5918.2ms | mode=NORMAL
2025-12-13T19:20:10.201341 [Step   3553] NORMAL       | total=4873.5ms | mode=NORMAL
2025-12-13T19:20:15.337417 [Step   3554] NORMAL       | total=5129.0ms | mode=NORMAL
2025-12-13T19:20:20.759089 [Step   3555] NORMAL       | total=5416.9ms | mode=NORMAL
2025-12-13T19:20:25.927366 [Step   3556] NORMAL       | total=5162.8ms | mode=NORMAL
2025-12-13T19:20:31.192445 [Step   3557] NORMAL       | total=5260.3ms | mode=NORMAL
2025-12-13T19:20:36.644304 [Step   3558] NORMAL       | total=5445.9ms | mode=NORMAL
2025-12-13T19:20:41.946067 [Step   3559] NORMAL       | total=5296.1ms | mode=NORMAL
2025-12-13T19:20:47.143338 [Step   3560] NORMAL       | total=5191.0ms | mode=NORMAL
2025-12-13T19:20:52.520505 [Step   3561] NORMAL       | total=5373.1ms | mode=NORMAL
2025-12-13T19:20:57.805875 [Step   3562] NORMAL       | total=5281.2ms | mode=NORMAL
2025-12-13T19:21:02.949714 [Step   3563] NORMAL       | total=5139.3ms | mode=NORMAL
2025-12-13T19:21:08.286298 [Step   3564] NORMAL       | total=5331.4ms | mode=NORMAL
2025-12-13T19:21:13.518610 [Step   3565] NORMAL       | total=5227.6ms | mode=NORMAL
2025-12-13T19:21:18.785686 [Step   3566] NORMAL       | total=5261.0ms | mode=NORMAL
2025-12-13T19:21:24.371231 [Step   3567] NORMAL       | total=5580.8ms | mode=NORMAL
2025-12-13T19:21:30.026566 [Step   3568] NORMAL       | total=5650.8ms | mode=NORMAL
2025-12-13T19:21:34.703849 [Step   3569] NORMAL       | total=4673.1ms | mode=NORMAL
